"","Source","Target","FreeFloat"
"1",64910733,64910735,42
"2",64910685,64910777,1
"3",64910685,64910797,0
"4",64910685,64913024,25
"5",64910685,64911921,122
"6",64910686,64913024,-139
"7",64910727,64913025,-14
"8",64910797,64911988,88
"9",64910772,64913024,91
"10",64910685,64911923,61
"11",64910684,64910685,77
"12",64910685,64910686,1
"13",64910795,64911988,116
"14",64910809,64911988,45
"15",64910686,64912347,261
"16",64910686,64912025,1
"17",64910686,64911972,48
"18",64910685,64911977,-4
"19",64910685,64911979,45
"20",64910686,64911978,1
"21",64910686,64911980,-4
"22",64910772,64912637,93
"23",64910685,64910810,3
"24",64910685,64911868,45
"25",64910727,64910741,25
"26",64910777,64910781,3
"27",64910797,64910807,0
"28",64910813,64910822,12
"29",64910694,64911924,576
"30",64910685,64910795,-2
"31",64910685,64910809,38
"32",64910685,64910808,290
"33",64910685,64910823,-5
"34",64910808,64910823,1
"35",64910694,64910810,6
"36",64910793,64910806,1
"37",64910806,64910821,119
"38",64910686,64912523,1
"39",64910685,64912523,33
"40",64910685,64912521,228
"41",64910686,64912521,224
"42",64910686,64912354,-31
"43",64910685,64912354,120
"44",64910685,64912420,180
"45",64910684,64910694,42
"46",64910684,64912751,-9
"47",64910684,64912752,206
"48",64910684,64912753,-161
"49",64910684,64912754,-6
"50",64910684,64912755,48
"51",64910684,64912756,91
"52",64910684,64912757,-14
"53",64910684,64912758,212
"54",64910684,64912759,4
"55",64910684,64912760,68
"56",64910684,64912761,-138
"57",64910684,64912762,12
"58",64910684,64912722,-22
"59",64910684,64912724,163
"60",64910684,64912734,43
"61",64910684,64912723,-7
"62",64910684,64912725,56
"63",64910684,64912740,108
"64",64910684,64912735,3
"65",64910684,64912744,-161
"66",64910684,64912736,74
"67",64910684,64912742,30
"68",64910684,64912743,119
"69",64910684,64912738,-94
"70",64910684,64912728,0
"71",64910684,64912745,-11
"72",64910684,64912746,171
"73",64910684,64912747,214
"74",64910684,64912739,-140
"75",64910684,64912741,3
"76",64910684,64912750,4
"77",64910684,64912749,-1
"78",64910684,64912748,-27
"79",64910684,64912737,4
"80",64910685,64910793,115
"81",64910685,64910806,71
"82",64910685,64910821,154
"83",64910685,64910792,24
"84",64910685,64910805,52
"85",64910685,64910794,13
"86",64910685,64910783,1
"87",64910685,64912418,25
"88",64910685,64911917,-41
"89",64910694,64911990,315
"90",64910685,64911992,32
"91",64910823,64911868,165
"92",64910684,64912917,63
"93",64910684,64912897,4
"94",64910684,64912885,8
"95",64910684,64912869,500
"96",64910684,64912873,63
"97",64910684,64912861,129
"98",64910684,64912889,-18
"99",64910684,64912881,47
"100",64910684,64912893,-21
"101",64910684,64912909,159
"102",64910684,64912913,-53
"103",64910684,64912905,-25
"104",64910684,64912921,-7
"105",64910684,64912933,0
"106",64910684,64912929,3
"107",64910684,64912877,-1
"108",64910751,64910752,0
"109",64910694,64910751,185
"110",64910694,64911881,240
"111",64910694,64911856,74
"112",64910684,64910696,98
